year,sex,ex_todas,ex_sin,dif_homicidios,sex_label
2010,female,66.3862642174156,66.6683846399496,0.28212042253395,f
2010,male,58.9337527256587,59.9039287810714,0.970176055412651,m
2019,female,68.0348056631662,68.3148277471972,0.280022084031003,f
2019,male,60.3103342122531,61.2148564688123,0.904522256559211,m
2021,female,64.1991470816841,64.4687376489523,0.26959056726821,f
2021,male,56.9071516132133,57.9189621860146,1.01181057280125,m
