"year","sex","age","deaths"
1990,"male",45,434.540834845735
1991,"male",45,441.766101694915
1992,"male",45,441.588850174216
1993,"male",45,475.227692307692
1994,"male",45,428.142857142857
1995,"male",45,519.275862068966
1996,"male",45,432.870466321243
1997,"male",45,552.481751824817
1998,"male",45,500.321981424149
1999,"male",45,513.95253164557
2000,"male",45,536.986301369863
2001,"male",45,546.817910447761
2002,"male",45,549.381355932203
2003,"male",45,564.431486880466
2004,"male",45,519.629057187017
2005,"male",45,662.427020506635
2006,"male",45,621.747770700637
2007,"male",45,708.015200868621
2008,"male",45,694.360691144708
2010,"male",45,743.558862529474
2012,"male",45,746.195069667738
2013,"male",45,790.491508491509
2014,"male",45,845.065353625783
2015,"male",45,843.291628334867
2016,"male",45,920.170176916596
2017,"male",45,904.571174377224
2019,"male",45,975.158002040723
2020,"male",45,1704.34782608696
2021,"male",45,1448.28140161725
2022,"male",45,1194.29878869448
2023,"male",45,1082.95801789401
2024,"male",45,1126.41764300482
1990,"male",50,570.717696629213
1991,"male",50,533.974248927039
1992,"male",50,562.258823529412
1993,"male",50,596.749003984064
1994,"male",50,634.984575835476
1995,"male",50,642.986772486772
1996,"male",50,647.530026109661
1997,"male",50,653.438848920863
1998,"male",50,670.537455410226
1999,"male",50,651.174563591022
2000,"male",50,690.474690663667
2001,"male",50,711.689142857143
2002,"male",50,804.412435233161
2003,"male",50,803.665634674923
2004,"male",50,734.942604856512
2005,"male",50,867.658536585366
2006,"male",50,856.437673130194
2007,"male",50,915.630236794171
2008,"male",50,893.237659963437
2010,"male",50,1035.02754598318
2012,"male",50,1053.07494322483
2013,"male",50,1227.05937291528
2014,"male",50,1168.6268861454
2015,"male",50,1175.13586956522
2016,"male",50,1172.89239204935
2017,"male",50,1230.64066496164
2019,"male",50,1247.84686877246
2020,"male",50,2286.12817904374
2021,"male",50,1870.21694036301
2022,"male",50,1488.69437274135
2023,"male",50,1422.72980501393
2024,"male",50,1537.0382848392
1990,"male",55,727.222222222222
1991,"male",55,746.401308615049
1992,"male",55,831.591591591592
1993,"male",55,809.097847358121
1994,"male",55,732.100108813928
1995,"male",55,820.445405405405
1996,"male",55,852.367026496565
1997,"male",55,864.631578947368
1998,"male",55,851.053242981607
1999,"male",55,917.724572457246
2000,"male",55,960.428571428571
2001,"male",55,1000.37945318973
2002,"male",55,970.965517241379
2003,"male",55,981.041463414634
2004,"male",55,1015.75520399667
2005,"male",55,1111.11553784861
2006,"male",55,1041.27424242424
2007,"male",55,1208.32757429164
2008,"male",55,1220.71102150538
2010,"male",55,1259.20804691968
2012,"male",55,1315.94385527137
2013,"male",55,1407.79522978476
2014,"male",55,1542.80104166667
2015,"male",55,1561.39693877551
2016,"male",55,1594.98617511521
2017,"male",55,1670.51259689922
2019,"male",55,1637.6868667753
2020,"male",55,3126.11635621332
2021,"male",55,2471.8772845953
2022,"male",55,1955.83897605285
2023,"male",55,1888.90999585234
2024,"male",55,1855.78130360206
1990,"male",60,872.572617946346
1991,"male",60,936.469889737065
1992,"male",60,928.634271099744
1993,"male",60,1040.42071713147
1994,"male",60,980.408896492729
1995,"male",60,1055.08917197452
1996,"male",60,1059.59700374532
1997,"male",60,1079.8451915559
1998,"male",60,1103.25826771654
1999,"male",60,1145.24393723253
2000,"male",60,1158.25142045455
2001,"male",60,1122.91915513474
2002,"male",60,1234.29784366577
2003,"male",60,1246.87159015303
2004,"male",60,1255.86816084377
2005,"male",60,1345.63556116015
2006,"male",60,1393.01754385965
2007,"male",60,1406.99638118215
2008,"male",60,1463.06018774158
2010,"male",60,1569.64417897386
2012,"male",60,1626.62727272727
2013,"male",60,1625.90725806452
2014,"male",60,1851.07360861759
2015,"male",60,1751.97961956522
2016,"male",60,1871.56597983341
2017,"male",60,1889.29043789097
2019,"male",60,2021.56341880342
2020,"male",60,3930.42276088743
2021,"male",60,3212.36565656566
2022,"male",60,2579.69413273485
2023,"male",60,2343.91764312019
2024,"male",60,2430.44955635886
1990,"male",65,1015.07386363636
1991,"male",65,1026.18578352181
1992,"male",65,1159.627773801
1993,"male",65,1109.29438543247
1994,"male",65,1092.00596125186
1995,"male",65,1070.55172413793
1996,"male",65,1259.70303867403
1997,"male",65,1232.48806366048
1998,"male",65,1272.26991441738
1999,"male",65,1177.87740555952
2000,"male",65,1272.96428571429
2001,"male",65,1430.76357267951
2002,"male",65,1426.96069364162
2003,"male",65,1539.72752967778
2004,"male",65,1468.74536256324
2005,"male",65,1622.74832041344
2006,"male",65,1577.47939262473
2007,"male",65,1570.94876033058
2008,"male",65,1595.80327868852
