"year","sex","age","deaths"
2023,"male",30,80
2024,"male",30,80
1990,"male",35,50
1991,"male",35,52
1992,"male",35,50
1993,"male",35,55
1994,"male",35,53
1995,"male",35,54
1996,"male",35,58
1997,"male",35,56
1998,"male",35,67
1999,"male",35,57
2000,"male",35,51
2001,"male",35,64
2002,"male",35,56
2003,"male",35,65
2004,"male",35,57
2005,"male",35,60
2006,"male",35,69
2007,"male",35,71
2008,"male",35,66
2009,"male",35,76
2010,"male",35,95
2011,"male",35,87
2012,"male",35,101
2013,"male",35,105
2014,"male",35,91
2015,"male",35,82
2016,"male",35,83
2017,"male",35,81
2018,"male",35,80
2019,"male",35,81
2020,"male",35,130
2021,"male",35,118
2022,"male",35,94
2023,"male",35,84
2024,"male",35,102
1990,"male",40,69
1991,"male",40,63
1992,"male",40,56
1993,"male",40,62
1994,"male",40,62
1995,"male",40,61
1996,"male",40,68
1997,"male",40,72
1998,"male",40,73
1999,"male",40,60
2000,"male",40,76
2001,"male",40,75
2002,"male",40,77
2003,"male",40,84
2004,"male",40,79
2005,"male",40,85
2006,"male",40,86
2007,"male",40,82
2008,"male",40,86
2009,"male",40,97
2010,"male",40,94
2011,"male",40,103
2012,"male",40,101
2013,"male",40,126
2014,"male",40,110
2015,"male",40,114
2016,"male",40,119
2017,"male",40,108
2018,"male",40,125
2019,"male",40,118
2020,"male",40,200
2021,"male",40,179
2022,"male",40,131
2023,"male",40,134
2024,"male",40,126
1990,"male",45,78
1991,"male",45,80
1992,"male",45,79
1993,"male",45,86
1994,"male",45,77
1995,"male",45,93
1996,"male",45,78
1997,"male",45,99
1998,"male",45,90
1999,"male",45,93
2000,"male",45,97
2001,"male",45,98
2002,"male",45,99
2003,"male",45,102
2004,"male",45,94
2005,"male",45,119
2006,"male",45,112
2007,"male",45,127
2008,"male",45,125
2009,"male",45,127
2010,"male",45,136
2011,"male",45,138
2012,"male",45,134
2013,"male",45,142
2014,"male",45,152
2015,"male",45,152
2016,"male",45,166
2017,"male",45,163
2018,"male",45,165
2019,"male",45,186
2020,"male",45,307
2021,"male",45,261
2022,"male",45,215
2023,"male",45,195
2024,"male",45,203
1990,"male",50,11
1991,"male",50,11
1992,"male",50,11
1993,"male",50,12
1994,"male",50,13
1995,"male",50,13
1996,"male",50,13
1997,"male",50,13
1998,"male",50,13
1999,"male",50,13
2000,"male",50,14
2001,"male",50,14
2002,"male",50,16
2003,"male",50,16
2004,"male",50,15
2005,"male",50,17
2006,"male",50,17
2007,"male",50,18
2008,"male",50,18
2009,"male",50,21
2010,"male",50,20
2011,"male",50,21
2012,"male",50,21
2013,"male",50,25
2014,"male",50,23
2015,"male",50,24
2016,"male",50,23
2017,"male",50,25
2018,"male",50,24
2019,"male",50,26
2020,"male",50,46
2021,"male",50,37
2022,"male",50,30
2023,"male",50,28
2024,"male",50,31
1990,"male",55,15
1991,"male",55,15
1992,"male",55,17
1993,"male",55,16
1994,"male",55,15
1995,"male",55,16
1996,"male",55,17
1997,"male",55,17
1998,"male",55,17
1999,"male",55,18
2000,"male",55,19
2001,"male",55,20
2002,"male",55,19
2003,"male",55,20
2004,"male",55,20
2005,"male",55,22
2006,"male",55,21
2007,"male",55,24
2008,"male",55,24
2009,"male",55,25
2010,"male",55,25
2011,"male",55,25
2012,"male",55,26
2013,"male",55,28
2014,"male",55,31
2015,"male",55,31
2016,"male",55,32
2017,"male",55,33
2018,"male",55,33
2019,"male",55,33
2020,"male",55,63
2021,"male",55,49
2022,"male",55,39
2023,"male",55,38
