"year","sex","age","N","deaths","mx"
2010,"female",5,134913.110990511,42.3721351445489,0.000314069810068564
2010,"female",10,134055.676163066,55.6899138649625,0.000415423766146396
2010,"female",15,131448.080549509,182.198393404998,0.00138608637450871
2010,"female",20,116472.245461473,249.734845799362,0.00214415756139921
2010,"female",25,107659.055848972,276.757040977754,0.00257068055070071
2010,"female",30,111926.981802877,314.107550199021,0.00280636130037187
2010,"female",35,110058.09383624,330.474690891817,0.00300272955284455
2010,"female",40,92611.9269072648,359.012505906864,0.00387652560416278
2010,"female",45,78595.9695635152,453.107804137193,0.00576502595048498
2010,"female",50,66093.3478715499,608.972454016819,0.00921382368465183
2010,"female",55,48976.0071786487,691.458619746985,0.0141183134269147
2010,"female",60,40708.7321495145,856.355821026142,0.0210361702713052
2010,"female",65,29306.2119750417,956.948727555994,0.0326534431802707
2010,"female",70,22784.8575714465,1078.37198012715,0.0473284494645489
2010,"female",75,14644.6630358466,1073.68736450925,0.0733159487439979
2010,"female",80,9582.48833582941,936.026191781378,0.0976809111555637
2010,"female",85,7740.17763929388,1218.82439758589,0.15746723840011
2010,"male",5,140019.302500579,74.9611981887844,0.000535363316700384
2010,"male",10,138282.514266927,93.6434194683707,0.000677189158476036
2010,"male",15,134557.94561437,249.801606595002,0.00185646121048035
2010,"male",20,117284.63907157,311.265154200638,0.00265392942046483
2010,"male",25,105896.244262344,359.909625688913,0.00339870056956207
2010,"male",30,107757.097100815,429.225783134312,0.00398327158658272
2010,"male",35,105000.062642041,477.525309108183,0.00454785737353443
2010,"male",40,87764.4341823563,544.320827426469,0.00620206616151006
2010,"male",45,74096.9093554458,743.558862529474,0.010034951106565
2010,"male",50,61907.2695752338,1035.02754598318,0.0167189984808706
2010,"male",55,47696.8288551544,1259.20804691968,0.0264002466651114
2010,"male",60,38087.1100166244,1569.64417897386,0.0412119527653512
2010,"male",65,27270.4406455651,1703.05127244401,0.0624504493557192
2010,"male",70,20742.2156504264,1994.96135320618,0.0961787972330318
2010,"male",75,13413.4600250473,1964.97930215742,0.146493097119473
2010,"male",80,7770.8217835409,1862.64047488529,0.23969671764066
2010,"male",85,5705.9536868546,2805.17560241411,0.491622567648364
2019,"female",5,136011.489505475,32.4731580895965,0.000238753050993455
2019,"female",10,132263.866593627,42.6416798374351,0.000322398557789401
2019,"female",15,132625.072587758,126.881730496454,0.000956694899544702
2019,"female",20,129829.157639549,209.373004773005,0.00161268091528636
2019,"female",25,122380.969413302,238.926346653263,0.00195231617953905
2019,"female",30,113561.218154325,245.167253964259,0.00215889947245095
2019,"female",35,110466.946370987,290.075151515151,0.00262589997320082
2019,"female",40,110410.279385828,424.019073919867,0.00384039490053399
2019,"female",45,102439.619275713,580.841997959277,0.00567009133835181
2019,"female",50,89812.6511318274,737.153131227539,0.00820767588906314
2019,"female",55,71152.4880007631,924.3131332247,0.0129905946959267
2019,"female",60,59938.1398585307,1149.43658119658,0.0191770479349133
2019,"female",65,42621.7451333678,1238.61425438597,0.0290606180134159
2019,"female",70,31489.863629247,1310.40148275453,0.041613437840914
2019,"female",75,20468.1640780525,1314.4367732767,0.064218596658903
2019,"female",80,13333.1298058846,1257.55121564339,0.0943177808925529
2019,"female",85,10655.2642111448,1555.52747126767,0.145986757385207
2019,"male",5,140670.314403859,65.5268419104035,0.000465818550190188
2019,"male",10,136717.659619569,81.3583201625649,0.000595082744898887
2019,"male",15,136957.500861084,196.118269503546,0.00143196442889586
2019,"male",20,132666.84136157,274.626995226995,0.00207005000200862
2019,"male",25,121523.450610147,326.073653346737,0.00268321588721832
2019,"male",30,110875.204166604,349.832746035741,0.00315519370327448
2019,"male",35,109267.791847555,447.924848484849,0.00409933101887674
2019,"male",40,105680.029288247,674.980926080133,0.00638702440400629
2019,"male",45,98819.514384571,975.158002040723,0.00986807118122185
2019,"male",50,84530.834461638,1247.84686877246,0.0147620318280279
2019,"male",55,67419.5773315167,1637.6868667753,0.0242909690566946
2019,"male",60,55749.1564892106,2021.56341880342,0.0362617758924238
2019,"male",65,39553.6755608101,2209.38574561403,0.0558579124263004
2019,"male",70,28777.2397844789,2389.59851724547,0.0830377942826298
2019,"male",75,18415.7414959279,2516.5632267233,0.136652831887316
2019,"male",80,10928.5997622623,2472.44878435661,0.226236557119994
2019,"male",85,7757.07502913742,3708.47252873233,0.478076145299926
2021,"female",5,136256.785454183,38.8235294117647,0.000284929145233793
2021,"female",10,131868.950443911,40.4597701149425,0.000306818018788673
2021,"female",15,132888.054265237,107.89519650655,0.000811925474438788
2021,"female",20,132999.488474138,221.119305856833,0.00166255756615057
2021,"female",25,125916.753041211,296.375617792422,0.00235374253730496
