"year","sex","age","deaths"
2023,"male",30,361
2024,"male",30,363
1990,"male",35,230
1991,"male",35,245
1992,"male",35,232
1993,"male",35,261
1994,"male",35,234
1995,"male",35,250
1996,"male",35,267
1997,"male",35,266
1998,"male",35,306
1999,"male",35,259
2000,"male",35,234
2001,"male",35,285
2002,"male",35,259
2003,"male",35,291
2004,"male",35,265
2005,"male",35,275
2006,"male",35,313
2007,"male",35,331
2008,"male",35,309
2009,"male",35,352
2010,"male",35,448
2011,"male",35,412
2012,"male",35,478
2013,"male",35,492
2014,"male",35,426
2015,"male",35,376
2016,"male",35,388
2017,"male",35,379
2018,"male",35,371
2019,"male",35,367
2020,"male",35,603
2021,"male",35,545
2022,"male",35,439
2023,"male",35,403
2024,"male",35,467
1990,"male",40,306
1991,"male",40,288
1992,"male",40,252
1993,"male",40,285
1994,"male",40,278
1995,"male",40,276
1996,"male",40,309
1997,"male",40,328
1998,"male",40,324
1999,"male",40,280
2000,"male",40,345
2001,"male",40,343
2002,"male",40,340
2003,"male",40,379
2004,"male",40,355
2005,"male",40,390
2006,"male",40,385
2007,"male",40,369
2008,"male",40,390
2009,"male",40,452
2010,"male",40,428
2011,"male",40,475
2012,"male",40,467
2013,"male",40,569
2014,"male",40,511
2015,"male",40,506
2016,"male",40,534
2017,"male",40,497
2018,"male",40,556
2019,"male",40,543
2020,"male",40,911
2021,"male",40,804
2022,"male",40,601
2023,"male",40,599
2024,"male",40,578
1990,"male",45,346
1991,"male",45,361
1992,"male",45,356
1993,"male",45,393
1994,"male",45,333
1995,"male",45,407
1996,"male",45,354
1997,"male",45,435
1998,"male",45,402
1999,"male",45,403
2000,"male",45,420
2001,"male",45,428
2002,"male",45,441
2003,"male",45,440
2004,"male",45,410
2005,"male",45,524
2006,"male",45,494
2007,"male",45,571
2008,"male",45,567
2009,"male",45,565
2010,"male",45,605
2011,"male",45,625
2012,"male",45,590
2013,"male",45,629
2014,"male",45,687
2015,"male",45,677
2016,"male",45,739
2017,"male",45,713
2018,"male",45,739
2019,"male",45,817
2020,"male",45,1400
2021,"male",45,1159
2022,"male",45,942
2023,"male",45,887
2024,"male",45,904
1990,"male",50,451
1991,"male",50,432
1992,"male",50,464
1993,"male",50,474
1994,"male",50,497
1995,"male",50,493
1996,"male",50,498
1997,"male",50,522
1998,"male",50,531
1999,"male",50,511
2000,"male",50,554
2001,"male",50,558
2002,"male",50,623
2003,"male",50,624
2004,"male",50,577
2005,"male",50,693
2006,"male",50,681
2007,"male",50,709
2008,"male",50,699
2009,"male",50,814
2010,"male",50,801
2011,"male",50,851
2012,"male",50,834
