"year","sex","x","n","mx","ax","qx","px","lx","dx","Lx","Tx","ex"
2010,"female",5,5,0.000314069810068564,0.053879395468192,0.00156791341106736,0.998432086588933,1e+05,156.791341106727,499224.49111714,6638626.42174156,66.3862642174156
2010,"female",10,5,0.000415423766146396,1.52152324202832,0.0020741216380277,0.997925878361972,99843.2086588933,207.086959489534,498495.696119003,6139401.93062442,61.4904309776263
2010,"female",15,5,0.00138608637450871,2.5,0.00690649936089433,0.993093500639106,99636.1216994037,688.136810838914,496460.266469921,5640906.23450542,56.61507230805
2010,"female",20,5,0.00214415756139921,2.5,0.010663626568151,0.989336373431849,98947.9848885648,1055.14436052271,492102.063541517,5144445.96803549,51.9914172464368
2010,"female",25,5,0.00257068055070071,2.5,0.012771325259873,0.987228674740127,97892.8405280421,1250.22130699651,486338.649372719,4652343.90449398,47.5248637121862
2010,"female",30,5,0.00280636130037187,2.5,0.013934046579166,0.986065953420834,96642.6192210456,1346.62275775865,479846.539210831,4166005.25512126,43.107329754718
2010,"female",35,5,0.00300272955284455,2.5,0.0149017827059199,0.98509821729408,95295.996463287,1420.08023204001,472929.781736335,3686158.71591043,38.6811498144156
2010,"female",40,5,0.00387652560416278,2.5,0.0191965878599349,0.980803412140065,93875.9162312469,1802.09727386502,464874.337971572,3213228.93417409,34.2284694858143
2010,"female",45,5,0.00576502595048498,2.5,0.0284155882433716,0.971584411756628,92073.8189573819,2616.3317274877,453828.26546819,2748354.59620252,29.8494689079275
2010,"female",50,5,0.00921382368465183,2.5,0.0450318300671689,0.954968169932831,89457.4872298942,4028.43436317254,437216.35024154,2294526.33073433,25.6493492248188
2010,"female",55,5,0.0141183134269147,2.5,0.0681849267185638,0.931815073281436,85429.0528667217,5824.97370935373,412582.830060224,1857309.98049279,21.7409642055893
2010,"female",60,5,0.0210361702713052,2.5,0.099925715445065,0.900074284554935,79604.079157368,7954.49456214558,378134.159381476,1444727.15043257,18.1489085198324
2010,"female",65,5,0.0326534431802707,2.5,0.150945028613422,0.849054971386578,71649.5845952224,10815.1485968656,331210.051483948,1066592.99105109,14.8862411007224
2010,"female",70,5,0.0473284494645489,2.5,0.211604915901061,0.788395084098939,60834.4359983567,12872.8657133207,271990.015708482,735382.939567141,12.0882675658735
2010,"female",75,5,0.0733159487439979,2.5,0.309797077147097,0.690202922852903,47961.570285036,14858.3542896892,202661.965700957,463392.92385866,9.66175463198372
2010,"female",80,5,0.0976809111555637,2.5,0.392544334998739,0.607455665001261,33103.2159953468,12994.479909213,133029.880203701,260730.958157703,7.87630296084685
2010,"female",85,NA,0.15746723840011,NA,1,0,20108.7360861338,20108.7360861338,127701.077954001,127701.077954001,6.35052732339847
2010,"male",5,5,0.000535363316700384,0.0464369151420238,0.00266973655971383,0.997330263440286,1e+05,266.973655971378,498677.529153151,5893375.27256588,58.9337527256587
2010,"male",10,5,0.000677189158476036,1.64949241690017,0.00337828071865669,0.996621719281343,99733.0263440286,336.926159911309,497536.258066416,5394697.74341272,54.0913871880689
2010,"male",15,5,0.00185646121048035,2.5,0.00923942446956448,0.990760575530436,99396.1001841173,918.362760220421,494684.594020036,4897161.48534631,49.2691511666454
2010,"male",20,5,0.00265392942046483,2.5,0.0131821856266725,0.986817814373327,98477.7374238969,1298.15181481652,489143.307582443,4402476.89132627,44.7053009796096
2010,"male",25,5,0.00339870056956207,2.5,0.016850329784223,0.983149670215777,97179.5856090804,1637.50806580714,481804.157880884,3913333.58374383,40.2690910772743
2010,"male",30,5,0.00398327158658272,2.5,0.0197199828148281,0.980280017185172,95542.0775432732,1884.08812724632,473000.16739825,3431529.42586295,35.9164204306603
2010,"male",35,5,0.00454785737353443,2.5,0.0224836557190573,0.977516344280943,93657.9894160269,2105.77398936906,463025.512106712,2958529.2584647,31.5886479830671
2010,"male",40,5,0.00620206616151006,2.5,0.0305368518684199,0.96946314813158,91552.2154266579,2795.71644070953,450771.786031515,2495503.74635798,27.2577100917577
2010,"male",45,5,0.010034951106565,2.5,0.0489468084585648,0.951053191541435,88756.4989859483,4344.34735531801,432921.626541447,2044731.96032647,23.0375463621
2010,"male",50,5,0.0167189984808706,2.5,0.0802411147167224,0.919758885283278,84412.1516306303,6773.32514247877,405127.445296955,1611810.33378502,19.0945296695902
