year,sex,mx,qx,lx,dx,Lx,Tx,ex,age,causa,sex_label
2010,female,0.000306657632018127,0.0015309660336829,1e+05,153.096603368293,499242.762558214,6666838.46399496,66.6683846399496,5,sin_homicidios,f
2010,female,0.000407964178991104,0.00203693030889957,99846.9033966317,203.381183778372,498527.062550758,6167595.70143674,61.7705255909299,10,sin_homicidios,f
2010,female,0.0013581919644014,0.00676797928430905,99643.5222128533,674.385294152176,496531.647828886,5669068.63888598,56.8934990753941,15,sin_homicidios,f
2010,female,0.00210122887928967,0.0104512432610369,98969.1369187012,1034.35052527221,492259.808280325,5172536.9910571,52.2641416516152,20,sin_homicidios,f
2010,female,0.00251804525103195,0.0125114651665446,97934.786393429,1225.30766855436,486610.662795759,4680277.18277677,47.7897318729517,25,sin_homicidios,f
2010,female,0.00274977679115597,0.0136550133587379,96709.4787248746,1320.56922390475,480245.970564611,4193666.51998101,43.3635521075595,30,sin_homicidios,f
2010,female,0.00294215548296664,0.0146033639962052,95388.9095009698,1392.99896664373,473462.05008824,3713420.5494164,38.9292693337546,35,sin_homicidios,f
2010,female,0.00379734213850963,0.0188081581636913,93995.9105343261,1767.88995206979,465559.827791456,3239958.49932816,34.4691431883621,40,sin_homicidios,f
2010,female,0.00564627516230632,0.0278384173997266,92228.0205822563,2567.48213291941,454721.397578983,2774398.67153671,30.0819496506734,45,sin_homicidios,f
2010,female,0.00902721892440723,0.0441399423155532,89660.5384493369,3957.61099513518,438408.664758847,2319677.27395772,25.8717749645064,50,sin_homicidios,f
2010,female,0.0138392652265006,0.0668823206948533,85702.9274542017,5732.01067847967,414184.61057481,1881268.60919888,21.9510425732446,55,sin_homicidios,f
2010,female,0.020618569449507,0.098039273332568,79970.9167757221,7840.29056843107,380253.857457533,1467083.99862407,18.3452192093595,60,sin_homicidios,f
2010,female,0.0319937423171978,0.148121322987618,72130.626207291,10684.0837817493,333942.921582082,1086830.14116653,15.0675267679386,65,sin_homicidios,f
2010,female,0.0463775255187342,0.207795074202443,61446.5424255417,12768.288842799,275311.990020711,752887.219584452,12.2527190280359,70,sin_homicidios,f
2010,female,0.0718364564119701,0.30449726991527,48678.2535827427,14822.3953201883,206335.279613243,477575.229563741,9.81085380871285,75,sin_homicidios,f
2010,female,0.0957329133065216,0.386227788136908,33855.8582625543,13076.073252223,136589.108182214,271239.949950499,8.01161051204242,80,sin_homicidios,f
2010,female,0.154323469036239,1,20779.7850103313,20779.7850103313,134650.841768284,134650.841768284,6.47989580745607,85,sin_homicidios,f
2010,female,0.000314069810068564,0.00156791341106736,1e+05,156.791341106727,499224.49111714,6638626.42174156,66.3862642174156,5,todas_causas,f
